cell_id,GENE_000,GENE_001,TP53,KRAS,BRAF,GENE_100,GENE_150,GENE_170,GENE_180,GENE_190
cell_00,0.5,0.6,0.4,0.5,0.5,0.4,0.5,0.3,0.4,0.3
cell_01,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.3,0.3,0.4
cell_02,0.6,0.4,0.3,0.5,0.4,0.4,0.6,0.3,0.4,0.5
cell_03,0.5,0.5,0.4,0.4,0.6,0.5,0.5,0.4,0.3,0.4
cell_04,0.4,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.5,0.4
cell_05,0.5,0.5,0.4,0.6,0.4,0.5,0.5,0.3,0.4,0.3
cell_06,0.6,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.3,0.4
cell_07,0.5,0.6,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.5
cell_08,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.3,0.5,0.4
cell_09,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.4
cell_10,3.1,3.0,3.2,3.0,3.1,3.2,3.0,3.1,3.0,3.2
cell_11,3.0,3.2,3.1,3.0,3.2,3.0,3.1,3.2,3.0,3.1
cell_12,3.2,3.1,3.0,3.2,3.0,3.1,3.2,3.0,3.1,3.0
cell_13,3.0,3.0,3.1,3.2,3.1,3.2,3.0,3.1,3.2,3.0
cell_14,3.1,3.2,3.0,3.1,3.0,3.2,3.1,3.0,3.1,3.2
cell_15,3.2,3.1,3.2,3.0,3.1,3.0,3.2,3.1,3.0,3.1
cell_16,3.0,3.2,3.1,3.1,3.2,3.1,3.0,3.2,3.1,3.0
cell_17,3.1,3.1,3.0,3.2,3.0,3.1,3.2,3.0,3.2,3.1
cell_18,3.2,3.0,3.1,3.0,3.1,3.2,3.1,3.0,3.1,3.2
cell_19,3.0,3.1,3.2,3.1,3.2,3.0,3.1,3.2,3.0,3.1
